name,team,battingStyle,bowlingStyle,playingRole,description,InningsBatted,Runs,BallsFaced,Fours,Sixes,Dismissals,BattingPosAvg,InningsBowled,OversBowled,ballsBowled,RunsConceded,Wickets,DotBalls,BattingAverage,StrikeRate,BoundaryPercent,AvgBallsFaced,BowlingAverage,Economy,BowlingStrikeRate,DotBallPercent
Dhananjaya De Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"A technically correct top-order batsman from the southern reaches of the island, Dhananjaya de Silva briefly caught the national selectors' eye in 2015, then went on to have a bumper domestic season that marked him out for more intensive national duty. De Silva had been picked on potential in Sri Lanka's mid-year T20s against Pakistan, in 2015, but didn't quite convince he was a T20 batsman, hitting 45 off 47 balls across two innings. What followed, though, was an emphatic blooming.",8.0,177.0,137.0,15.0,4.0,7.0,2.875,6.0,12.1,73.0,83.0,6.0,20.0,25.285714285714285,129.19708029197082,47.45762711864407,17.125,13.833333333333334,6.859504132231405,12.166666666666666,27.397260273972602
Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. ",3.0,14.0,22.0,1.0,0.0,3.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,63.63636363636363,28.57142857142857,7.333333333333333,0.0,0.0,0.0,0.0
Divan La Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,,2.0,9.0,11.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,81.81818181818183,44.44444444444444,5.5,0.0,0.0,0.0,0.0
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18.",2.0,9.0,16.0,0.0,0.0,1.0,10.0,2.0,7.5,47.0,54.0,4.0,22.0,9.0,56.25,0.0,8.0,13.5,7.2,11.75,46.808510638297875
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,"Ebadat Hossain Chowdhury's journey from being a volleyball player for Bangladesh Air Force to becoming a Test cricketer in February 2019 was a short, and interesting, one. Living in their barracks, Ebadat dreamt of bowling like Brett Lee one day. His dream came true when he took part in the 2016 Robi Pacer Hunt in Faridpur, crisscrossing 342km southwest from his hometown Sylhet. He was one of the top three bowlers, and was duly picked by the scouts to a training camp in Dhaka.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,19.0,25.0,1.0,7.0,0.0,0.0,0.0,0.0,25.0,8.064516129032258,19.0,36.84210526315789
Evin Lewis,West Indies,Left hand Bat,,Opening Batter,"""I hit a lot of sixes, big sixes like him,"" Evin Lewis said when asked why he chose Chris Gayle as his mentor. For an upcoming left-handed opening batsman, especially in the modern game, that's a fairly smart pick.",3.0,42.0,49.0,2.0,1.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,14.0,85.71428571428571,33.33333333333333,16.333333333333332,0.0,0.0,0.0,0.0
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which he's made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt.",1.0,20.0,16.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,125.0,60.0,16.0,0.0,0.0,0.0,0.0
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,,1.0,2.0,4.0,0.0,0.0,0.0,10.0,2.0,4.0,24.0,48.0,1.0,5.0,0.0,50.0,0.0,4.0,48.0,12.0,24.0,20.833333333333336
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,,1.0,0.0,2.0,0.0,0.0,1.0,11.0,3.0,11.3,69.0,75.0,3.0,39.0,0.0,0.0,0.0,2.0,25.0,6.63716814159292,23.0,56.52173913043478
Finn Allen,New Zealand,Right hand Bat,,Top order Batter,,5.0,95.0,51.0,11.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,186.27450980392157,77.89473684210526,10.2,0.0,0.0,0.0,0.0
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder,,3.0,12.0,11.0,2.0,0.0,3.0,9.0,3.0,5.0,30.0,54.0,1.0,10.0,4.0,109.09090909090908,66.66666666666666,3.6666666666666665,54.0,10.8,30.0,33.33333333333333
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,"Spotted as part of a Netherlands development squad which played two one-day friendlies against Kent in 2018, Fred Klaassen joined the county's Second XI, taking nine wickets in two appearances to earn a two-year deal ahead of the 2019 summer. After an impressive debut season for Kent's first team, Klaassen signed a contract extension to keep him at the club at least until the end of 2021.",4.0,10.0,11.0,0.0,0.0,3.0,9.75,8.0,30.0,180.0,191.0,8.0,93.0,3.3333333333333335,90.9090909090909,0.0,2.75,23.875,6.366666666666666,22.5,51.66666666666667
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,,5.0,69.0,54.0,7.0,1.0,4.0,6.6,7.0,23.3,141.0,185.0,6.0,53.0,17.25,127.77777777777777,49.275362318840585,10.8,30.833333333333332,7.939914163090129,23.5,37.5886524822695
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,"George Dockrell was identified as a left-arm spinner of rare potential long before he was out of his teens. He made his international debut for Ireland as a 17-year-old in 2010. The accolade was made more remarkable by the fact that he had only been bowling spin for four years, having switched from bowling seam at the age of 13 after coach Brian O'Rourke spotted him bowling spin in a car park during an Ireland age group tour of Wales. ",6.0,100.0,83.0,10.0,1.0,5.0,6.0,4.0,8.0,48.0,56.0,1.0,15.0,20.0,120.48192771084338,46.0,13.833333333333334,56.0,7.0,48.0,31.25
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter,"Known as the reverse-sweeping demon of the Associate world, George Munsey's path to the Scotland national team is as unorthodox as his trademark shot. Born and raised in Oxford, Munsey had dreams of becoming a professional golfer and it was a golf scholarship to the Loretto School, just outside Edinburgh, that brought him to Scotland at age 13. ",3.0,121.0,106.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,114.15094339622642,52.892561983471076,35.333333333333336,0.0,0.0,0.0,0.0
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,,3.0,52.0,60.0,2.0,0.0,3.0,5.0,2.0,4.0,24.0,21.0,0.0,9.0,17.333333333333332,86.66666666666667,15.384615384615385,20.0,0.0,5.25,0.0,37.5
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats and, at times, shown he can transfer that to the red ball. It is not just his power that worries opposing bowlers and captains. His ability to make unconventional shots appear routine - reverse sweeps and pulls, for example - makes it hard to set fields to cover all of his scoring areas. His audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments.",4.0,118.0,73.0,11.0,6.0,3.0,4.5,2.0,3.1,19.0,19.0,3.0,8.0,39.333333333333336,161.64383561643837,67.79661016949152,18.25,6.333333333333333,6.129032258064516,6.333333333333333,42.10526315789473
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Glenn Phillips is a top-order wicketkeeper-batsman who has impressed in white-ball cricket during the early stages of his career. Born in South Africa, he moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He made his List A debut at the age of 18 before playing in the 2016 Under-19 World Cup. He really started to turn heads, however, during the 2016-17 Super Smash when he was the tournament's leading scorer with 369 runs, including an innings of 116 off 57 balls. He was called into the New Zealand T20 squad to face South Africa in February 2017 after an injury to Martin Guptill.
ESPNcricinfo staff",5.0,201.0,127.0,19.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,158.26771653543307,61.69154228855721,25.4,0.0,0.0,0.0,0.0
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in the sporting world was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage.",2.0,51.0,37.0,3.0,2.0,2.0,4.5,2.0,4.0,24.0,43.0,0.0,7.0,25.5,137.83783783783784,47.05882352941176,18.5,0.0,10.75,0.0,29.166666666666668
Haider Ali,Pakistan,Right hand Bat,,Middle order Batter,,2.0,2.0,5.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,2.5,0.0,0.0,0.0,0.0
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,"Hardik Pandya swears by living life king size and that exuberance finds expression in his powerful hitting in the middle order and brisk seam bowling. He first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in IPL 2015, but displayed greater consistency in the Syed Mushtaq Ali domestic T20 tournament in January 2016. He finished as the leading run-getter, for Baroda, with 377 runs in 10 innings at an average of 53.85. ",5.0,128.0,97.0,7.0,7.0,5.0,5.6,6.0,18.0,108.0,146.0,8.0,42.0,25.6,131.95876288659792,54.6875,19.4,18.25,8.11111111111111,13.5,38.88888888888889
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,,3.0,10.0,7.0,0.0,1.0,1.0,10.0,7.0,26.0,156.0,178.0,8.0,69.0,10.0,142.85714285714286,60.0,2.3333333333333335,22.25,6.846153846153846,19.5,44.230769230769226
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,"A former England U19s captain, Harry Brook announced himself as a player with a bright future with a remarkable T20 Blast season in 2020, averaging 55 and striking at 163 in the group stages despite batting in the middle order.",5.0,56.0,58.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,96.55172413793103,25.0,11.6,0.0,0.0,0.0,0.0
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,Born into a cricketing family - his brothers Jack and Tim also captained Ireland at U19 World Cups - Harry Tector has quietly amassed an impressive record in the senior side since cementing a spot in the post-Covid era. ,6.0,68.0,75.0,4.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333334,90.66666666666666,32.35294117647059,12.5,0.0,0.0,0.0,0.0
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler,"Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. ",2.0,0.0,5.0,0.0,0.0,1.0,10.0,4.0,16.0,96.0,134.0,6.0,42.0,0.0,0.0,0.0,2.5,22.333333333333332,8.375,16.0,43.75
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Afghanistan's ascent up the global rankings from ICC Associate nation to Full Member and Test status has been largely propelled by a conveyor belt of fast bowling and mystery spin. But the country has struggled to unearth quality batting prospects at the same rate as their bowling unit. The emergence of the hard-hitting Hazratullah Zazai is a sign that this may change early in the country's Full Member era.,1.0,7.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,41.17647058823529,57.14285714285714,17.0,0.0,0.0,0.0,0.0
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A clean-hitting, wicketkeeper batsman, Heinrich Klaasen emerged on the scene at the same time that Quinton de Kock nailed down a place in the South African team, across all formats. As someone who had always combined the disciplines of batting and glovework, Klaasen hoped to make it in either skill and establish himself as all-round option, if required.",2.0,36.0,27.0,3.0,1.0,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,18.0,133.33333333333331,50.0,13.5,0.0,0.0,0.0,0.0
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,,3.0,80.0,83.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,96.3855421686747,45.0,27.666666666666668,0.0,0.0,0.0,0.0
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,,7.0,114.0,93.0,6.0,6.0,5.0,4.857142857142857,2.0,3.5,23.0,28.0,1.0,9.0,22.8,122.58064516129032,52.63157894736842,13.285714285714286,28.0,8.0,23.0,39.130434782608695
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds.",2.0,7.0,7.0,0.0,0.0,1.0,8.0,5.0,19.2,116.0,130.0,6.0,43.0,7.0,100.0,0.0,3.5,21.666666666666668,6.770833333333334,19.333333333333332,37.06896551724138
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"Allrounder, and Twitter star, Jimmy Neesham went from the brink of retirement from cricket to almost delivering New Zealand the 2019 World Cup. In the tournament he was outstanding with bat and ball then in the final against England claimed three wickets and produced the final-ball run out to tie the scores after 50 overs. He was entrusted with the bat in the Super Over and scored 13 off 5 balls including a huge six off Jofra Archer. He was at the non-striker's end for the last ball when Martin Guptill was run out coming back for a second run that would have won New Zealand the World Cup. ",5.0,53.0,37.0,2.0,2.0,3.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,143.24324324324326,37.735849056603776,7.4,0.0,0.0,0.0,0.0
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,,3.0,101.0,93.0,6.0,1.0,3.0,5.333333333333333,3.0,11.0,66.0,72.0,3.0,24.0,33.666666666666664,108.6021505376344,29.7029702970297,31.0,24.0,6.545454545454546,22.0,36.36363636363637
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter,,3.0,21.0,20.0,1.0,2.0,3.0,3.3333333333333335,1.0,1.0,6.0,8.0,0.0,2.0,7.0,105.0,76.19047619047619,6.666666666666667,0.0,8.0,0.0,33.33333333333333
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"Jason Holder was seen as a future talent until a selection panel headed by former World Cup-winner Clive Lloyd appointed him West Indies' ODI captain in 2014. Holder was only 23 at the time, and was still making his way as a fast bowler and a lower-middle order batsman. Less than a year later, he took over the Test team too, indicating how much the WICB and men in the know - ranging from Viv Richards to Brian Lara to Tony Cozier - believed in this man, who comes across as remarkably level-headed and mature for someone so young. ",2.0,42.0,36.0,4.0,1.0,2.0,7.0,3.0,10.2,62.0,49.0,5.0,27.0,21.0,116.66666666666667,52.38095238095239,18.0,9.8,4.803921568627452,12.4,43.54838709677419
Jj Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,,3.0,39.0,23.0,3.0,2.0,1.0,7.333333333333333,3.0,11.0,66.0,79.0,3.0,27.0,39.0,169.56521739130434,61.53846153846154,7.666666666666667,26.333333333333332,7.181818181818182,22.0,40.909090909090914
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly.",2.0,69.0,54.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,127.77777777777777,60.86956521739131,27.0,0.0,0.0,0.0,0.0
Jos Buttler,England,Right hand Bat,,Wicketkeeper Batter,"England have had many players down the ages who have gained world acclaim, but Jos Buttler is arguably their first global Twenty20 superstar. Buttler helped bring England's limited-overs batting into the 21st century, his impact on the one-day and T20 sides extraordinary as they turned a group-stage exit in the 2015 World Cup into a triumph on home soil four years later, with his efforts with the bat and the gloves crucial to their Super-Over victory in the final. In an 18-month period from mid-2014, he scored what at the time were England's three fastest one-day hundreds - thrilling innings against Sri Lanka at Lord's, New Zealand at Edgbaston and, topping the list, a 46-ball onslaught against Pakistan in Dubai. He has also shone at the IPL, and has quickly become a senior player in the Test side since his surprise recall in 2018.",6.0,225.0,156.0,24.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,144.23076923076923,61.33333333333333,26.0,0.0,0.0,0.0,0.0
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"Josh Davey's seam-bowling talent was recognised when Middlesex gave him his county debut at the age of 19. But, although he was involved with the county for four years, the seam-bowling allrounder failed to push on, and he was released at the end of 2013 and moved west to Somerset. ",1.0,4.0,3.0,0.0,0.0,0.0,8.0,3.0,10.0,60.0,96.0,3.0,21.0,0.0,133.33333333333331,0.0,3.0,32.0,9.6,20.0,35.0
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,"A tall and accurate fast bowler who is unrelenting in his line and length, Josh Hazlewood became a fixture in Australia's Test attack as soon as he made his debut in December 2014. Although he was only 23 at the time, the baggy green had felt a long time coming, given that Hazlewood had been highly regarded for so long. At 17, he had become the youngest fast bowler to be selected by New South Wales, and at 19 he was in his first one-day international against England at Southampton, joining Craig McDermott and Ray Bright as the only Australian 19-year-olds to play the format so soon. Hazlewood was initially chosen for Australia's Test tour of India in late 2010 but was withdrawn due to a back stress injury, and it was not until four years later that he finally played his first Test, having added significant strength to his 196cm frame.",1.0,1.0,1.0,0.0,0.0,0.0,11.0,4.0,15.0,90.0,124.0,5.0,42.0,0.0,100.0,0.0,1.0,24.8,8.266666666666667,18.0,46.666666666666664
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase.",4.0,16.0,21.0,1.0,1.0,2.0,11.0,7.0,27.0,162.0,189.0,11.0,68.0,8.0,76.19047619047619,62.5,5.25,17.181818181818183,7.0,14.727272727272727,41.9753086419753
Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,,2.0,18.0,17.0,1.0,1.0,1.0,10.0,3.0,12.0,72.0,95.0,4.0,26.0,18.0,105.88235294117648,55.55555555555556,8.5,23.75,7.916666666666667,18.0,36.11111111111111
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,"A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. ",2.0,10.0,10.0,0.0,0.0,1.0,8.5,5.0,16.0,96.0,151.0,2.0,38.0,10.0,100.0,0.0,5.0,75.5,9.4375,48.0,39.58333333333333
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,"A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad.",1.0,1.0,1.0,0.0,0.0,1.0,9.0,1.0,4.0,24.0,48.0,1.0,4.0,1.0,100.0,0.0,1.0,48.0,12.0,24.0,16.666666666666664
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010.",5.0,178.0,153.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,116.33986928104576,41.57303370786517,30.6,0.0,0.0,0.0,0.0
Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler,,2.0,4.0,8.0,0.0,0.0,1.0,9.0,3.0,12.0,72.0,75.0,5.0,31.0,4.0,50.0,0.0,4.0,15.0,6.25,14.4,43.05555555555556
Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder,,2.0,15.0,18.0,0.0,1.0,2.0,5.5,2.0,2.0,12.0,19.0,0.0,1.0,7.5,83.33333333333334,40.0,9.0,0.0,9.5,0.0,8.333333333333332
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well.",1.0,8.0,21.0,0.0,0.0,0.0,10.0,3.0,11.0,66.0,94.0,3.0,31.0,0.0,38.095238095238095,0.0,21.0,31.333333333333332,8.545454545454545,22.0,46.96969696969697
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer.",1.0,13.0,12.0,0.0,1.0,1.0,8.0,4.0,12.0,72.0,89.0,3.0,24.0,13.0,108.33333333333333,46.15384615384615,12.0,29.666666666666668,7.416666666666667,24.0,33.33333333333333
Kl Rahul,India,Right hand Bat,,Opening Batter,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final.",6.0,128.0,106.0,8.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333333333333332,120.75471698113208,62.5,17.666666666666668,0.0,0.0,0.0,0.0
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. ",8.0,223.0,156.0,17.0,10.0,7.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,31.857142857142858,142.94871794871796,57.399103139013455,19.5,0.0,0.0,0.0,0.0
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. ",3.0,34.0,30.0,5.0,1.0,3.0,1.0,2.0,3.0,18.0,41.0,0.0,8.0,11.333333333333334,113.33333333333333,76.47058823529412,10.0,0.0,13.666666666666666,0.0,44.44444444444444
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity.",1.0,4.0,5.0,1.0,0.0,1.0,11.0,6.0,19.7,121.0,153.0,7.0,60.0,4.0,80.0,100.0,5.0,21.857142857142858,7.766497461928934,17.285714285714285,49.586776859504134
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine.",5.0,55.0,44.0,4.0,1.0,2.0,5.6,5.0,12.0,72.0,96.0,3.0,19.0,27.5,125.0,40.0,8.8,32.0,8.0,24.0,26.38888888888889
Litton Das,Bangladesh,Right hand Bat,,Wicketkeeper Batter,Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015.,5.0,127.0,89.0,11.0,5.0,5.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,25.4,142.69662921348313,58.26771653543307,17.8,0.0,0.0,0.0,0.0
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,"A right-arm quick with a good bouncer, it is Lockie Ferguson's speed that made a breakout star at the 2019 World Cup in England. Regularly hitting 150kph, Ferguson's raw speed bowling first change yielded 21 wickets at just 19.47 and an economy rate of 4.88. He finished second on the tournament wicket tally behind Mitchell Starc. He was rewarded with being named in the ICC's team of the tournament alongside skipper Kane Williamson. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,114.0,159.0,7.0,43.0,0.0,0.0,0.0,0.0,22.714285714285715,8.368421052631579,16.285714285714285,37.719298245614034
Logan Van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"Logan van Beek is an allrounder in more ways than one. As a cricketer, he compares his play to that of Shane Watson, he also represented New Zealand at the World Under-19 Basketball Championships in 2009, and he works as a sports coach. Named in the New Zealand squad for the Under-19 World Cup in 2010, van Beek is the grandson of Sammy Guillen, who played Test cricket for both West Indies and New Zealand.Cricinfo staff January 2010",4.0,15.0,23.0,0.0,0.0,2.0,8.5,6.0,16.2,98.0,125.0,3.0,32.0,7.5,65.21739130434783,0.0,5.75,41.666666666666664,7.71604938271605,32.666666666666664,32.6530612244898
Lorcan Tucker,Ireland,Right hand Bat,,Wicketkeeper Batter,,7.0,204.0,163.0,19.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,125.15337423312884,49.01960784313725,23.285714285714285,0.0,0.0,0.0,0.0
